name,neighborhood,artist,address,created_date,thumbnail_url,medium_url,full_url,latitude,longitude
Union Sq. Business Mural,Union Square,"","90 Union Sq , Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_5880.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_5880.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_5880.jpg,42.3792903,-71.0942244
First Flag Mural,Union Square,Be Sargent Allen,"63 Union Square , Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_5864.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_5864.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_5864.jpg,42.3798267,-71.095422
painted newsbox,Union Square,Artisans Asylum,"19 Union Square, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0390.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0390.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0390.jpg,42.3795414,-71.09629480000001
sculptural bench,Union Square,Mitch Ryerson,"70 Union Square, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0386.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0386.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0386.jpg,42.3797521,-71.095212
tree sculpture,Union Square,"","70 Union Square, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0384.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0384.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0384.jpg,42.3797521,-71.095212
footrprint trash can,Union Square,Christina Lanzi and Phil Manker,"66 Union square, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0383.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0383.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0383.jpg,42.379921,-71.0950469
graphic art display,Union Square,Shepard Fairey,"1 Carlton St, Somerville","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0414.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0414.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0414.jpg,42.3803997,-71.1002855
Pizza Man,Union Square,"","Somerville Ave, Somerville","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0399.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0399.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0399.jpg,42.3822152,-71.10271469999999
Polka Dots and Monsters,Union Square,unknown,"200 Washington st.                   
             at Hawkins st. crossing , Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/photo (6).JPG,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/photo (6).JPG,http://www.somervilleartscouncil.org/sacfiles/publicart/photo (6).JPG,42.3796062,-71.09141149999999
Swoon,Union Square,Swoon,"3 Beacon street, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/swoon.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/swoon.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/swoon.jpg,42.374535,-71.10150399999999
Green Elephant,Union Square,"","24 Parkdale St , Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/elephant.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/elephant.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/elephant.jpg,42.3785017,-71.1021282
Sunglasses man,Union Square,"","24 Parkdale St, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/sunglasses.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/sunglasses.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/sunglasses.jpg,42.3785017,-71.1021282
Three Politicians,Union Square,"","2 Parkdale street , Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/men.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/men.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/men.jpg,42.3789965,-71.1021237
"""Not Art"" Art",Union Square,"",292 Somerville Ave,"",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/NotArt_union.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/NotArt_union.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/NotArt_union.jpg,42.3795686,-71.0954036
"""Find It Don't Force It"" Buddha",Union Square,"","24 Springfield St , Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/Buddha_Springfield_0.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/Buddha_Springfield_0.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/Buddha_Springfield_0.jpg,42.3742617,-71.1003997
Dodecahedron Birdhouse,Union Square,Dan Sternof Beyer,Somerville Ave @ School Street,"",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/12birdhouse_1sm.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/12birdhouse_1sm.jpg,http://www.somervilleartscouncil.org/sacfiles/12birdhouse_1sm.jpg,42.382,-71.101852
